Cybershoke Bonuses,"surf_ameliorate B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_andromeda B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_apollo B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_astray B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_beyond B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_bonkers_v2 B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_calycate_ksf B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_calzone B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_casbah_fix B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_egypt2 B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_forbidden_ways_ksf B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_frost B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_garden_go B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_het B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_jail_go B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_juturna_easy B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_kepler B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_listless B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_mayday B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_noob B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_not_so_neb B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_nyx B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_n_turf B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_pantheon B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_prelude_ksf B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_ravine_go B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_reblis_final B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_sodacity B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_squarestyle B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_tendies B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_tranquil B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_treasurehunt_go B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_trump_rc1 B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_water-run_banjo_skill B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_wew B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_whiteout B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_yey B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_beyond2 B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_extend B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_santorini B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_spaceracer B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_trectangles_v8 B1 
Map Tier 1",T1-T4,Unit
Cybershoke Bonuses,"surf_2pacisalive B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_4head_csgo B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_8bit B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_abandoned B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_abstract_up B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_ace B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_activation B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_amantiss_csgo B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_amir B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_anzchamps B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_aquaflow B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_aqua_fix B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_ardon_refix B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_atrium B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_beginner2 B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_believe_refix B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_benevolent B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_beverages B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_boomer B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_cavemissile_fix B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_coralis_ksf B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_crackdesert_evo2 B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_crownroyal B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_cyberwave B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_deadline B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_devs B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_domain B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_driftless B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_duggywuggy B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_ebony B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_echo B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_eggplant B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_epicube_ksf B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_exurbia_v2 B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_fade B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_flyin_fortress_sh B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_fortum B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_frey_remake_go B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_fruits B1 
Map Tier 2",T1-T4,Unit
Cybershoke Bonuses,"surf_gleam2 B1 
Map Tier 2",T1-T4,Unit
